   / -------   -------
  *  Capsule Passed: dict_keys([])
   \ -------   -------
0002 : 1 Stanley2Cross  | offset 1.446  | angle -1.296  | speed_z 0.090  | Cross position []  | time:  0.006  | [ battery: 48%, 11V / 300mA ]
0187 : 2 Turn2Road  | phase 2.000  | no_line   | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0188 : 2 Turn2Road  | phase 2.000  | no_line   | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0189 : 2 Turn2Road  | phase 2.000  | no_line   | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0190 : 2 Turn2Road  | phase 2.000  | no_line   | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0191 : 2 Turn2Road  | phase 2.000  | no_line   | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0192 : 2 Turn2Road  | phase 2.000  | no_line   | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0193 : 2 Turn2Road  | phase 2.000  | no_line   | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0194 : 2 Turn2Road  | phase 2.000  | no_line   | line_on_angle 7.663  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0195 : 2 Turn2Road  | phase 2.000  | no_line   | line_on_angle 4.988  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
   / -------   -------
  *  Capsule Passed: dict_keys(['dist_from_cross'])
   \ -------   -------
0196 : 3 Stanley2Green  | phase  1.000  | offset -9.346  | angle 4.988  | z speed  -0.407  | true green? 255.000  | true green at [140, 120]  | true green from line 10.759  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0197 : 3 Stanley2Green  | phase  1.000  | offset -13.296  | angle 3.952  | z speed  -0.415  | true green? 199.000  | true green at [210, 120]  | true green from line 3.356  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0198 : 3 Stanley2Green  | phase  1.000  | offset -13.084  | angle 3.295  | z speed  -0.379  | true green? 247.000  | true green at [200, 120]  | true green from line 0.378  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0199 : 3 Stanley2Green  | phase  1.000  | offset -13.841  | angle 2.256  | z speed  -0.338  | true green? 255.000  | true green at [210, 110]  | true green from line 5.272  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0200 : 3 Stanley2Green  | phase  1.000  | offset -17.497  | angle 1.146  | z speed  -0.332  | true green? 255.000  | true green at [220, 110]  | true green from line 3.099  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0201 : 3 Stanley2Green  | phase  2.000  | offset -14.962  | angle 0.833  | Dist ratio  -0.225  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0202 : 3 Stanley2Green  | phase  2.000  | offset -16.612  | angle -0.278  | Dist ratio  -0.325  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0203 : 3 Stanley2Green  | phase  2.000  | offset -16.382  | angle -2.152  | Dist ratio  -0.300  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0204 : 3 Stanley2Green  | phase  2.000  | offset -13.800  | angle -4.332  | Dist ratio  -0.298  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0205 : 3 Stanley2Green  | phase  2.000  | offset -14.428  | angle -5.711  | Dist ratio  -0.296  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0206 : 3 Stanley2Green  | phase  2.000  | offset -17.803  | angle -5.160  | Dist ratio  -0.298  | time:  0.006  | [ battery: 48%, 11V / 300mA ]
0207 : 3 Stanley2Green  | phase  2.000  | offset -16.076  | angle -1.944  | Dist ratio  -0.300  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0208 : 3 Stanley2Green  | phase  2.000  | offset -18.252  | angle -0.035  | Dist ratio  -0.300  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0209 : 3 Stanley2Green  | phase  2.000  | offset -19.368  | angle 2.568  | Dist ratio  -0.300  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0210 : 3 Stanley2Green  | phase  2.000  | offset -22.161  | angle 4.815  | Dist ratio  -0.296  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0211 : 3 Stanley2Green  | phase  2.000  | offset -22.600  | angle 7.765  | Dist ratio  -0.314  | time:  0.006  | [ battery: 48%, 11V / 300mA ]
0212 : 3 Stanley2Green  | phase  2.000  | offset -33.159  | angle 8.106  | Dist ratio  -0.309  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0213 : 3 Stanley2Green  | phase  2.000  | offset -18.999  | angle 14.036  | Dist ratio  -0.303  | time:  0.006  | [ battery: 48%, 11V / 300mA ]
0214 : 3 Stanley2Green  | phase  2.000  | offset -18.999  | angle 14.036  | Dist ratio  -0.288  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0215 : 3 Stanley2Green  | phase  2.000  | offset -18.999  | angle 14.036  | Dist ratio  -0.288  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0216 : 3 Stanley2Green  | phase  2.000  | offset -18.999  | angle 14.036  | Green is Gone!  56.000  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
   / -------   -------
  *  Capsule Passed: dict_keys(['dist_from_cross'])
   \ -------   -------
0217 : 4 Turn2Void  | phase 0.000  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0218 : 4 Turn2Void  | phase 1.000  | angle 180.000  | time 1.500  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0219 : 4 Turn2Void  | phase 3.000  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0220 : 4 Turn2Void  | phase 3.000  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0221 : 4 Turn2Void  | phase 3.000  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0222 : 4 Turn2Void  | phase 3.000  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0223 : 4 Turn2Void  | phase 3.000  | time:  0.001  | [ battery: 48%, 11V / 300mA ]
0224 : 4 Turn2Void  | phase 3.000  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0225 : 4 Turn2Void  | phase 3.000  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0226 : 4 Turn2Void  | phase 3.000  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0227 : 4 Turn2Void  | phase 3.000  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0228 : 4 Turn2Void  | phase 3.000  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0229 : 4 Turn2Void  | phase 3.000  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0230 : 4 Turn2Void  | phase 3.000  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0231 : 4 Turn2Void  | phase 3.000  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0232 : 4 Turn2Void  | phase 3.000  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0233 : 4 Turn2Void  | phase 3.000  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
   / -------   -------
  *  Capsule Passed: dict_keys(['dist_from_cross'])
   \ -------   -------
0234 : phase 1  | mode  5.000  | count:  {'ally_tank': 1, 'ally': 1, 'enem': 1}  | time:  0.300  | [ battery: 48%, 11V / 300mA ]
0235 : phase 1  | mode  5.000  | count:  {'ally_tank': 1, 'enem': 1}  | time:  0.256  | [ battery: 48%, 11V / 300mA ]
0236 : phase 1  | mode  5.000  | count:  {'ally_tank': 1, 'ally': 1}  | time:  0.293  | [ battery: 48%, 11V / 300mA ]
0237 : phase 1  | mode  5.000  | count:  {'ally_tank': 1, 'ally': 1}  | time:  0.238  | [ battery: 48%, 11V / 300mA ]
0238 : phase 1  | mode  5.000  | count:  {'ally_tank': 1, 'ally': 1}  | time:  0.239  | [ battery: 48%, 11V / 300mA ]
0239 : phase 2  | prediction result:  {'ally': 1, 'enem': 0, 'ally_tank': 1, 'enem_tank': 0}  | time:  0.025  | [ battery: 48%, 11V / 300mA ]
0240 : phase 5  | holding:  1.000  | until:  0.100  | time:  0.000  | [ battery: 48%, 11V / 300mA ]
0241 : phase 5  | holding:  1.000  | until:  0.200  | time:  0.000  | [ battery: 48%, 11V / 300mA ]
0242 : phase 5  | holding:  1.000  | until:  0.301  | time:  0.000  | [ battery: 48%, 11V / 300mA ]
0243 : phase 5  | holding:  1.000  | until:  0.401  | time:  0.000  | [ battery: 48%, 11V / 300mA ]
0244 : phase 5  | holding:  1.000  | until:  0.501  | time:  0.000  | [ battery: 48%, 11V / 300mA ]
0245 : phase 5  | holding:  1.000  | until:  0.602  | time:  0.000  | [ battery: 48%, 11V / 300mA ]
0246 : phase 5  | holding:  1.000  | until:  0.704  | time:  0.000  | [ battery: 48%, 11V / 300mA ]
0247 : phase 5  | holding:  1.000  | until:  0.807  | time:  0.000  | [ battery: 48%, 11V / 300mA ]
0248 : phase 5  | holding:  1.000  | until:  0.919  | time:  0.000  | [ battery: 48%, 11V / 300mA ]
0249 : phase 5  | time:  0.000  | [ battery: 48%, 11V / 300mA ]
   / -------   -------
  *  Capsule Passed: dict_keys(['dist_from_cross', 'event_10_frame_list'])
   \ -------   -------
0250 : 11 Turn2Road  | phase 0.000  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0251 : 11 Turn2Road  | phase 1.000  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0252 : 11 Turn2Road  | phase 1.000  | time:  0.006  | [ battery: 48%, 11V / 300mA ]
0253 : 11 Turn2Road  | phase 1.000  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0254 : 11 Turn2Road  | phase 1.000  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0255 : 11 Turn2Road  | phase 1.000  | time:  0.006  | [ battery: 48%, 11V / 300mA ]
0256 : 11 Turn2Road  | phase 1.000  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0257 : 11 Turn2Road  | phase 1.000  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0258 : 11 Turn2Road  | phase 1.000  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0259 : 11 Turn2Road  | phase 1.000  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0260 : 11 Turn2Road  | phase 1.000  | no_line   | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0261 : 11 Turn2Road  | phase 2.000  | no_line   | time:  0.008  | [ battery: 48%, 11V / 300mA ]
0262 : 11 Turn2Road  | phase 2.000  | no_line   | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0263 : 11 Turn2Road  | phase 2.000  | no_line   | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0264 : 11 Turn2Road  | phase 2.000  | no_line   | time:  0.006  | [ battery: 48%, 11V / 300mA ]
0265 : 11 Turn2Road  | phase 2.000  | no_line   | time:  0.008  | [ battery: 48%, 11V / 300mA ]
0266 : 11 Turn2Road  | phase 2.000  | no_line   | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0267 : 11 Turn2Road  | phase 2.000  | no_line   | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0268 : 11 Turn2Road  | phase 2.000  | no_line   | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0269 : 11 Turn2Road  | phase 2.000  | no_line   | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0270 : 11 Turn2Road  | phase 2.000  | no_line   | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0271 : 11 Turn2Road  | phase 2.000  | no_line   | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0272 : 11 Turn2Road  | phase 2.000  | no_line   | time:  0.006  | [ battery: 48%, 11V / 300mA ]
0273 : 11 Turn2Road  | phase 2.000  | no_line   | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0274 : 11 Turn2Road  | phase 2.000  | no_line   | time:  0.006  | [ battery: 48%, 11V / 300mA ]
0275 : 11 Turn2Road  | phase 2.000  | no_line   | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0276 : 11 Turn2Road  | phase 2.000  | no_line   | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0277 : 11 Turn2Road  | phase 2.000  | no_line   | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0278 : 11 Turn2Road  | phase 2.000  | no_line   | line_on_angle -28.811  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0279 : 11 Turn2Road  | phase 2.000  | no_line   | line_on_angle -20.807  | time:  0.006  | [ battery: 48%, 11V / 300mA ]
   / -------   -------
  *  Capsule Passed: dict_keys(['dist_from_cross', 'event_10_frame_list'])
   \ -------   -------
0280 : 12 Stanley2Cross  | offset 2.818  | angle -8.531  | speed_z 0.476  | Cross position [245, 235, 225]  | cross? -1.000  | time:  0.008  | [ battery: 48%, 11V / 300mA ]
0281 : 12 Stanley2Cross  | offset 2.488  | angle -5.711  | speed_z 0.329  | Cross position [245, 235, 225]  | cross? 0.000  | time:  0.006  | [ battery: 48%, 11V / 300mA ]
0282 : 12 Stanley2Cross  | offset 1.845  | angle -4.004  | speed_z 0.232  | Cross position [245, 235, 225]  | cross? 1.000  | time:  0.006  | [ battery: 48%, 11V / 300mA ]
0283 : 12 Stanley2Cross  | offset 1.699  | angle -2.291  | speed_z 0.144  | Cross position [245, 235, 225]  | cross? 2.000  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0284 : 12 Stanley2Cross  | offset 1.000  | angle -0.000  | speed_z 0.017  | Cross position [255, 245, 235, 225]  | cross? 3.000  | time:  0.007  | [ battery: 48%, 11V / 300mA ]
   / -------   -------
  *  Capsule Passed: dict_keys(['dist_from_cross', 'event_10_frame_list'])
   \ -------   -------
0285 : 13 Turn2Road  | phase 0.000  | radius 264.521  | rot_z 1.000  | SPEED_X 1.102  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0286 : 13 Turn2Road  | phase 1.000  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0287 : 13 Turn2Road  | phase 1.000  | time:  0.008  | [ battery: 48%, 11V / 300mA ]
0288 : 13 Turn2Road  | phase 1.000  | time:  0.006  | [ battery: 48%, 11V / 300mA ]
0289 : 13 Turn2Road  | phase 1.000  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0290 : 13 Turn2Road  | phase 1.000  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0291 : 13 Turn2Road  | phase 1.000  | time:  0.006  | [ battery: 48%, 11V / 300mA ]
0292 : 13 Turn2Road  | phase 1.000  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0293 : 13 Turn2Road  | phase 1.000  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0294 : 13 Turn2Road  | phase 1.000  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0295 : 13 Turn2Road  | phase 1.000  | no_line   | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0296 : 13 Turn2Road  | phase 2.000  | no_line   | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0297 : 13 Turn2Road  | phase 2.000  | no_line   | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0298 : 13 Turn2Road  | phase 2.000  | no_line   | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0299 : 13 Turn2Road  | phase 2.000  | no_line   | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0300 : 13 Turn2Road  | phase 2.000  | no_line   | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0301 : 13 Turn2Road  | phase 2.000  | no_line   | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0302 : 13 Turn2Road  | phase 2.000  | no_line   | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0303 : 13 Turn2Road  | phase 2.000  | no_line   | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0304 : 13 Turn2Road  | phase 2.000  | no_line   | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0305 : 13 Turn2Road  | phase 2.000  | no_line   | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0306 : 13 Turn2Road  | phase 2.000  | no_line   | time:  0.001  | [ battery: 48%, 11V / 300mA ]
0307 : 13 Turn2Road  | phase 2.000  | no_line   | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0308 : 13 Turn2Road  | phase 2.000  | no_line   | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0309 : 13 Turn2Road  | phase 2.000  | no_line   | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0310 : 13 Turn2Road  | phase 2.000  | no_line   | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0311 : 13 Turn2Road  | phase 2.000  | no_line   | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0312 : 13 Turn2Road  | phase 2.000  | no_line   | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0313 : 13 Turn2Road  | phase 2.000  | no_line   | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0314 : 13 Turn2Road  | phase 2.000  | no_line   | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0315 : 13 Turn2Road  | phase 2.000  | no_line   | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0316 : 13 Turn2Road  | phase 2.000  | no_line   | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0317 : 13 Turn2Road  | phase 2.000  | no_line   | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0318 : 13 Turn2Road  | phase 2.000  | no_line   | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0319 : 13 Turn2Road  | phase 2.000  | no_line   | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0320 : 13 Turn2Road  | phase 2.000  | no_line   | line_on_angle 13.200  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0321 : 13 Turn2Road  | phase 2.000  | no_line   | line_on_angle 10.775  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
   / -------   -------
  *  Capsule Passed: dict_keys(['dist_from_cross', 'event_10_frame_list'])
   \ -------   -------
0322 : 14 Stanley2Green  | phase  1.000  | offset 18.803  | angle 9.800  | z speed  -0.259  | true green? 255.000  | true green at [140, 140]  | true green from line 3.055  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0323 : 14 Stanley2Green  | phase  1.000  | offset 17.376  | angle 9.631  | z speed  -0.271  | true green? 224.000  | true green at [200, 130]  | true green from line 3.239  | time:  0.006  | [ battery: 48%, 11V / 300mA ]
0324 : 14 Stanley2Green  | phase  1.000  | offset 17.627  | angle 8.853  | z speed  -0.216  | true green? 255.000  | true green at [170, 130]  | true green from line 3.518  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0325 : 14 Stanley2Green  | phase  1.000  | offset 15.993  | angle 7.731  | z speed  -0.171  | true green? 255.000  | true green at [190, 120]  | true green from line 5.891  | time:  0.006  | [ battery: 48%, 11V / 300mA ]
0326 : 14 Stanley2Green  | phase  1.000  | offset 10.060  | angle 6.123  | z speed  -0.178  | true green? 255.000  | true green at [200, 120]  | true green from line 2.052  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0327 : 14 Stanley2Green  | phase  1.000  | offset 12.696  | angle 6.157  | z speed  -0.128  | true green? 255.000  | true green at [150, 110]  | true green from line 14.901  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0328 : 14 Stanley2Green  | phase  1.000  | offset 9.218  | angle 6.226  | z speed  -0.202  | true green? 219.000  | true green at [240, 120]  | true green from line 0.904  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0329 : 14 Stanley2Green  | phase  1.000  | offset 5.959  | angle 5.367  | z speed  -0.215  | true green? 245.000  | true green at [230, 110]  | true green from line 9.338  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0330 : 14 Stanley2Green  | phase  1.000  | offset 7.014  | angle 5.676  | z speed  -0.212  | true green? 255.000  | true green at [230, 120]  | true green from line 0.211  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0331 : 14 Stanley2Green  | phase  1.000  | offset -3.855  | angle 2.117  | z speed  -0.225  | true green? 255.000  | true green at [250, 110]  | true green from line 3.098  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0332 : 14 Stanley2Green  | phase  1.000  | offset 4.907  | angle 3.849  | z speed  -0.140  | true green? 255.000  | true green at [260, 100]  | true green from line 11.202  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0333 : 14 Stanley2Green  | phase  1.000  | offset 9.951  | angle 4.021  | z speed  -0.044  | true green? 255.000  | true green at [270, 100]  | true green from line 6.179  | time:  0.006  | [ battery: 48%, 11V / 300mA ]
0334 : 14 Stanley2Green  | phase  1.000  | offset 6.611  | angle 2.707  | z speed  -0.028  | true green? 255.000  | true green at [280, 100]  | true green from line 3.778  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0335 : 14 Stanley2Green  | phase  1.000  | offset 6.252  | angle 2.464  | z speed  -0.020  | true green? 153.000  | true green at [280, 90]  | true green from line 13.197  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0336 : 14 Stanley2Green  | phase  1.000  | offset 6.800  | angle 2.429  | z speed  -0.006  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0337 : 14 Stanley2Green  | phase  1.000  | offset 6.994  | angle 2.291  | z speed  0.007  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0338 : 14 Stanley2Green  | phase  1.000  | offset 3.859  | angle 1.389  | z speed  -0.003  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0339 : 14 Stanley2Green  | phase  1.000  | offset 3.299  | angle 1.146  | z speed  0.000  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0340 : 14 Stanley2Green  | phase  1.000  | offset 3.299  | angle 1.146  | z speed  0.000  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0341 : 14 Stanley2Green  | phase  1.000  | offset 2.482  | angle 0.729  | z speed  0.009  | time:  0.001  | [ battery: 48%, 11V / 300mA ]
0342 : 14 Stanley2Green  | phase  1.000  | offset 3.036  | angle 0.833  | z speed  0.015  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0343 : 14 Stanley2Green  | phase  1.000  | offset 4.236  | angle 0.833  | z speed  0.042  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0344 : 14 Stanley2Green  | phase  1.000  | offset 4.036  | angle 0.833  | z speed  0.037  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0345 : 14 Stanley2Green  | phase  1.000  | offset 1.000  | angle -0.000  | z speed  0.023  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0346 : 14 Stanley2Green  | phase  1.000  | offset 2.000  | angle 0.000  | z speed  0.045  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0347 : 14 Stanley2Green  | phase  1.000  | offset 3.000  | angle 0.000  | z speed  0.068  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0348 : 14 Stanley2Green  | phase  1.000  | offset 3.000  | angle 0.000  | z speed  0.068  | time:  0.006  | [ battery: 48%, 11V / 300mA ]
0349 : 14 Stanley2Green  | phase  1.000  | offset 1.776  | angle -0.556  | z speed  0.076  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0350 : 14 Stanley2Green  | phase  1.000  | offset 4.000  | angle 0.000  | z speed  0.090  | time:  0.006  | [ battery: 48%, 11V / 300mA ]
0351 : 14 Stanley2Green  | phase  1.000  | offset 4.445  | angle -0.104  | z speed  0.107  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0352 : 14 Stanley2Green  | phase  1.000  | offset 2.118  | angle -0.729  | z speed  0.095  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0353 : 14 Stanley2Green  | phase  1.000  | offset 0.255  | angle -1.042  | z speed  0.073  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0354 : 14 Stanley2Green  | phase  1.000  | offset 0.712  | angle -0.868  | z speed  0.073  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0355 : 14 Stanley2Green  | phase  1.000  | offset -0.706  | angle -1.285  | z speed  0.067  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0356 : 14 Stanley2Green  | phase  1.000  | offset -0.506  | angle -1.285  | z speed  0.072  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0357 : 14 Stanley2Green  | phase  1.000  | offset 1.376  | angle -0.556  | z speed  0.067  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0358 : 14 Stanley2Green  | phase  1.000  | offset 0.964  | angle -0.833  | z speed  0.076  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0359 : 14 Stanley2Green  | phase  1.000  | offset 2.376  | angle -0.556  | z speed  0.090  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0360 : 14 Stanley2Green  | phase  1.000  | offset 0.294  | angle -1.285  | z speed  0.090  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0361 : 14 Stanley2Green  | phase  1.000  | offset 0.488  | angle -1.423  | z speed  0.104  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0362 : 14 Stanley2Green  | phase  1.000  | offset 3.518  | angle -0.729  | z speed  0.127  | time:  0.007  | [ battery: 48%, 11V / 300mA ]
0363 : 14 Stanley2Green  | phase  1.000  | offset 2.312  | angle -0.868  | z speed  0.109  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0364 : 14 Stanley2Green  | phase  1.000  | offset 0.764  | angle -0.833  | z speed  0.072  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0365 : 14 Stanley2Green  | phase  1.000  | offset 1.536  | angle -0.313  | z speed  0.055  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0366 : 14 Stanley2Green  | phase  1.000  | offset 2.000  | angle 0.000  | z speed  0.045  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0367 : 14 Stanley2Green  | phase  1.000  | offset 0.964  | angle -0.833  | z speed  0.076  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0368 : 14 Stanley2Green  | phase  1.000  | offset 1.712  | angle -0.868  | z speed  0.095  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0369 : 14 Stanley2Green  | phase  1.000  | offset -0.300  | angle -1.146  | z speed  0.068  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0370 : 14 Stanley2Green  | phase  1.000  | offset 0.764  | angle -0.833  | z speed  0.072  | time:  0.002  | [ battery: 48%, 11V / 300mA ]
0371 : 14 Stanley2Green  | phase  1.000  | offset 0.300  | angle -1.146  | z speed  0.081  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0372 : 14 Stanley2Green  | phase  1.000  | offset 2.312  | angle -0.868  | z speed  0.109  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0373 : 14 Stanley2Green  | phase  1.000  | offset 0.739  | angle -1.389  | z speed  0.107  | time:  0.006  | [ battery: 48%, 11V / 300mA ]
0374 : 14 Stanley2Green  | phase  1.000  | offset 0.739  | angle -1.389  | z speed  0.107  | time:  0.004  | [ battery: 48%, 11V / 300mA ]
0375 : 14 Stanley2Green  | phase  1.000  | offset 0.739  | angle -1.389  | z speed  0.107  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0376 : 14 Stanley2Green  | phase  1.000  | offset 0.636  | angle -1.458  | z speed  0.109  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0377 : 14 Stanley2Green  | phase  1.000  | offset -0.124  | angle -1.701  | z speed  0.108  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0378 : 14 Stanley2Green  | phase  1.000  | offset 1.139  | angle -1.389  | z speed  0.116  | time:  0.003  | [ battery: 48%, 11V / 300mA ]
0379 : 14 Stanley2Green  | phase  1.000  | offset 1.700  | angle -1.146  | z speed  0.113  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0380 : 14 Stanley2Green  | phase  1.000  | offset 1.151  | angle -1.111  | z speed  0.098  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
0381 : 14 Stanley2Green  | phase  1.000  | offset 2.112  | angle -0.868  | z speed  0.104  | time:  0.005  | [ battery: 48%, 11V / 300mA ]
